slot,review_issue,review_issue_url,related_issues
samp_collect_method,253,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/253,
samp_mat_process,254,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/254,
samp_name,255,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/255,
samp_size,256,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/256,
samp_size_unit,257,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/257,
samp_store_dur,258,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/258,
samp_store_loc,259,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/259,
samp_store_method_additional,260,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/260,
samp_store_sol,261,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/261,
samp_store_temp,262,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/262,
samp_vol_we_dna_ext,263,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/263,
samp_vol_we_dna_ext_unit,264,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/264,
samp_weather,265,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/265,
sample_composed_of,266,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/266,
sample_derived_from,267,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/267,
scientificName,268,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/268,
scientificNameAuthorship,269,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/269,
screen_contam_method,270,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/270,
screen_geograph_method,271,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/271,
screen_nontarget_method,272,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/272,
screen_other,273,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/273,
seq_id,274,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/274,
seq_kit,275,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/275,
seq_method_additional,276,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/276,
